"date","infections_mean","infections_sd","inf_lo01","inf_hi99","inf_lo05","inf_hi95","inf_lo10","inf_hi90","R_mean","R_sd","R_lo01","R_hi99","R_lo05","R_hi95","R_lo10","R_hi90","crossing_prob","end_first_ix","end_first_date","start_second_ix","start_second_date","country","confirm","first_low_ix","second_max_ix","first_low_date","second_max_date"
2020-04-22,48.0219493076039,5.16077176908096,37.3125696575996,61.5764571750037,40.0994460558472,56.9555611975846,41.6589951293533,54.680389767936,0.866231259112436,0.0459069187826012,0.754499052854666,0.976346085510657,0.791558356161966,0.941406430603272,0.809055164993241,0.923230546663738,0.0037,40,2020-04-04,109,2020-06-12,"Austria",91,40,116,2020-04-04,2020-06-19
2020-04-23,47.0824181193703,5.09001514789598,36.5195582631794,60.3356470512196,39.310138032123,55.9364059928431,40.7990861025147,53.6393236920461,0.88359223611986,0.0462792773942171,0.769400558607195,0.99655164385379,0.807557418838708,0.958398445519155,0.826278187782653,0.940867341337636,0.0081,40,2020-04-04,109,2020-06-12,"Austria",61,40,116,2020-04-04,2020-06-19
2020-04-24,46.3581569956873,5.03494444587819,35.7785859659419,59.4897655627972,38.6444022418728,55.0405886033155,40.2044875114641,52.8272222066926,0.900549798653199,0.0465407392479303,0.785382757530365,1.01293462071719,0.824133493109093,0.974802934847814,0.842183230102111,0.957737106787625,0.0169,40,2020-04-04,109,2020-06-12,"Austria",83,40,116,2020-04-04,2020-06-19
2020-04-25,45.8265969225125,4.99031461757738,35.4284360606523,58.8941224320392,38.1186907041608,54.4222371522697,39.7219757121341,52.287994786929,0.916955280762115,0.0467275091586254,0.8013362402106,1.03168237240456,0.839196782702202,0.992491904598653,0.857718259969534,0.974305487493104,0.0367,40,2020-04-04,109,2020-06-12,"Austria",66,40,116,2020-04-04,2020-06-19
2020-04-26,45.4647672897818,4.9518353912311,35.1433480772238,58.3730447892137,37.8140678836205,53.9259599204026,39.3608640037754,51.8743779357246,0.932613865174027,0.0468986292619488,0.819011486174667,1.04506354822239,0.853967911825395,1.00799168305493,0.873775448363739,0.990606855389093,0.0706,40,2020-04-04,109,2020-06-12,"Austria",55,40,116,2020-04-04,2020-06-19
2020-04-27,45.2482700712898,4.91653490891405,35.0141154017147,58.2726686737363,37.6436693885896,53.5817394477941,39.148824850643,51.576200118182,0.947281303542976,0.0471311593832861,0.832783407043206,1.06078550016755,0.869026210546708,1.02366060324233,0.887881549282607,1.00601359083777,0.1247,40,2020-04-04,109,2020-06-12,"Austria",67,40,116,2020-04-04,2020-06-19
2020-04-28,45.150483752663,4.88300456943787,35.0063904427784,58.2019026804348,37.5787446891693,53.4955243256818,39.1219054710448,51.4336722215358,0.960668551942401,0.0475056450678441,0.846384662482061,1.07535926798656,0.882611185809797,1.03804190412803,0.900717640567276,1.02039488219709,0.1929,40,2020-04-04,109,2020-06-12,"Austria",58,40,116,2020-04-04,2020-06-19
2020-04-29,45.1420749405921,4.85145421292783,35.0421238736094,58.0534432867362,37.6423374004025,53.4322795882105,39.1788244339507,51.4140057259308,0.972455165806269,0.0480827433225784,0.856699270784963,1.09016503414901,0.89613484532627,1.05227808745202,0.9124906927592,1.03342091142928,0.2723,40,2020-04-04,109,2020-06-12,"Austria",50,40,116,2020-04-04,2020-06-19
2020-04-30,45.190906735122,4.82348708790423,35.0716292267748,57.7990382931037,37.7800519980642,53.4199522593361,39.2796515716749,51.4781278475001,0.982311165654187,0.0488767616756597,0.865664018900435,1.10550723141211,0.905887456916447,1.0637474811758,0.92224878375674,1.0444226708976,0.3469,40,2020-04-04,109,2020-06-12,"Austria",60,40,116,2020-04-04,2020-06-19
2020-05-01,45.262430487754,4.80147874790342,35.0503468284922,57.5803995482741,37.8852586355948,53.5333417907736,39.4024630218316,51.5193145795352,0.98992577406327,0.0498366450579074,0.875472784184667,1.1181699949575,0.911834152410258,1.07412616833496,0.929259797966478,1.05298432625994,0.4067,40,2020-04-04,109,2020-06-12,"Austria",34,40,116,2020-04-04,2020-06-19
2020-05-02,45.320624772115,4.78750848478427,35.2785810877281,57.5097185451489,38.0378691907298,53.6623178757368,39.5118188391071,51.5455182334237,0.995040118064947,0.0508450836818451,0.879675224404994,1.12512210726266,0.916245515474269,1.08206024054501,0.93338302113091,1.05937549694457,0.4429,40,2020-04-04,109,2020-06-12,"Austria",12,40,116,2020-04-04,2020-06-19
2020-05-03,45.3294963415578,4.78200827275249,35.2760527939306,57.794537423165,38.0777486130485,53.6778543633923,39.4773083734912,51.5352394810655,0.997479910894142,0.0517400799674553,0.884168082333866,1.13441290334078,0.918051548568073,1.08705885771925,0.934972337410218,1.06351367335865,0.4572,40,2020-04-04,109,2020-06-12,"Austria",68,40,116,2020-04-04,2020-06-19
2020-05-04,45.2550787726559,4.7825814737834,35.3124932091636,57.753410130732,38.0178605384617,53.5244874556436,39.3645389035562,51.4237902365399,0.997183511734897,0.0523546831745579,0.883252945701063,1.13632678577126,0.916965861314795,1.08735924907054,0.933669800815317,1.0640537924821,0.4542,40,2020-04-04,109,2020-06-12,"Austria",31,40,116,2020-04-04,2020-06-19
2020-05-05,45.0677593675476,4.7835974596323,35.1245466687636,57.7039884910727,37.802002518737,53.4165984855887,39.1811220467116,51.2875470322598,0.994220835496986,0.0525646583318079,0.880960552660646,1.13281451547313,0.913565769853598,1.08477712391286,0.930430437149319,1.06249014528996,0.4294,40,2020-04-04,109,2020-06-12,"Austria",17,40,116,2020-04-04,2020-06-19
2020-05-06,44.7446517121926,4.77701750710669,34.7794605532821,57.542657646236,37.5442667180541,53.0898057721125,38.8819383988972,50.9643248177659,0.988799506020954,0.0523307504335008,0.875413228972617,1.12443890126481,0.908015164171924,1.07981705513436,0.925044709051749,1.05617806992156,0.3908,40,2020-04-04,109,2020-06-12,"Austria",65,40,116,2020-04-04,2020-06-19
2020-05-07,44.2716426433939,4.75444614222777,34.3065036728379,57.003372860526,37.065788694078,52.6340767754263,38.4352710951467,50.4501566359492,0.981256437821644,0.0517203882744734,0.866965748866041,1.11702248371694,0.900518049588973,1.07034199071237,0.917733902261297,1.04701810436413,0.336,40,2020-04-04,109,2020-06-12,"Austria",22,40,116,2020-04-04,2020-06-19
