"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Slovenia",20,4,2,2,1,0.005,0.462,-0.191,-0.335,-0.344,0.546,-0.333,-0.481,0.502,-0.379,0.464,0,0.578,0.676,0.674,0.01,0.974,1,0.1,0.744,0.994,0.012,0.8,0.636,0.638,0.02,0.048,0,0.188,0.532,TRUE,TRUE
"Sweden",20,4,2,1,1,-0.733,-0.156,-0.778,-0.422,-0.422,-0.244,-0.244,-0.111,0.244,0.156,0.932,0.59,0.938,0.75,0.75,0.724,0.848,0.706,0.278,0.388,0.35,0.674,0.244,0.562,0.562,0.61,0.416,0.746,0.614,0.916,TRUE,TRUE
"United Kingdom",20,4,4,2,0,0.783,0.188,0.681,0.514,0.514,0.442,0.529,0.08,0.775,-0.862,0.052,0.064,0.124,0.178,0.181,0.006,0,0.266,0.004,0.986,0.094,0.26,0.25,0.4,0.4,0.008,0,0.546,0.006,0.016,TRUE,TRUE
"Austria",21,4,2,3,1,-0.71,0.113,-0.147,-0.124,-0.389,-0.601,-0.42,-0.14,0.21,-0.294,0.984,0.106,0.62,0.596,0.817,0.998,1,0.862,0.27,0.772,0.042,0.288,0.766,0.808,0.38,0.002,0.002,0.266,0.52,0.434,TRUE,TRUE
"Belgium",21,4,4,5,1,-0.918,0.344,-0.401,-0.063,-0.063,-0.243,-0.733,-0.501,0.275,-0.764,1,0.002,0.71,0.538,0.532,1,1,1,0.302,0.978,0.002,0.006,0.582,0.914,0.908,0.004,0,0,0.616,0.04,TRUE,TRUE
"Bulgaria",21,4,1,1,1,0.2,0.8,0,-0.2,NA,-0.738,0.6,0.6,0.8,-0.2,0.574,0.03,0.508,0.624,NA,0.868,0.132,0.136,0.146,0.52,0.9,0.084,1,0.906,NA,0.264,0.268,0.27,0.296,0.918,TRUE,TRUE
"Croatia",21,4,1,1,1,-0.05,0.293,0.823,0.81,0.81,0.218,-0.2,-0.2,-0.098,0.05,0.616,0.14,0.038,0.1,0.037,0.4,0.686,0.682,0.556,0.396,0.926,0.324,0.104,0.218,0.143,0.8,0.624,0.63,0.876,0.924,TRUE,TRUE
"Cyprus",21,4,3,3,0,-0.513,0.239,0.34,0.097,0.083,-0.311,-0.341,-0.108,0.173,-0.308,0.908,0.012,0.234,0.442,0.405,0.914,0.988,0.782,0.294,0.83,0.202,0.016,0.468,0.844,0.716,0.184,0.026,0.448,0.588,0.358,TRUE,TRUE
"Czechia",21,4,2,4,0,-0.714,-0.088,-0.503,-0.422,-0.403,0.039,-0.646,-0.455,0.323,0.185,0.932,0.642,0.81,0.748,0.74,0.45,1,1,0.152,0.368,0.162,0.688,0.418,0.484,0.506,0.806,0,0,0.312,0.726,TRUE,TRUE
"Denmark",21,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",21,4,1,5,0,0.634,0.198,0.321,-0.241,-0.247,0.092,0.246,0.079,0.317,-0.04,0.182,0.114,0.38,0.626,0.624,0.334,0.086,0.33,0.194,0.478,0.326,0.338,0.704,0.77,0.771,0.628,0.184,0.648,0.388,0.96,TRUE,TRUE
"Finland",21,4,1,3,1,-0.02,-0.136,0.094,0.02,0.058,-0.092,0.102,0.084,0.055,0.287,0.522,0.786,0.43,0.46,0.439,0.744,0.204,0.26,0.454,0.312,0.978,0.378,0.914,0.986,0.932,0.502,0.396,0.488,0.924,0.67,TRUE,TRUE
"France",21,4,4,5,0,-0.342,0.235,-0.456,-0.546,-0.45,0.196,-0.36,-0.42,-0.209,-0.356,0.826,0,0.914,0.95,0.898,0,1,1,0.76,0.9,0.378,0,0.204,0.11,0.216,0.01,0,0,0.422,0.218,TRUE,TRUE
"Germany",21,4,3,2,1,-0.952,-0.008,-0.903,-0.75,-0.75,-0.702,-0.726,0.056,0.585,-0.133,0.998,0.422,0.982,0.966,0.966,1,1,0.296,0.058,0.554,0.01,0.98,0.052,0.072,0.072,0,0,0.552,0.1,0.836,TRUE,TRUE
"Greece",21,4,3,1,0,-0.9,0.03,0.437,0.094,NA,-0.476,-0.504,-0.365,-0.316,-0.34,0.998,0.38,0.242,0.432,NA,1,1,0.996,0.742,0.694,0.004,0.882,0.492,0.898,NA,0,0,0.004,0.518,0.536,TRUE,TRUE
"Hungary",21,4,1,1,1,-0.848,0.314,0.333,0.314,0.529,0.186,-0.81,-0.752,-0.257,-0.257,0.978,0.024,0.304,0.314,0.132,0.244,1,1,0.688,0.608,0.062,0.114,0.656,0.672,0.327,0.486,0,0,0.652,0.742,TRUE,TRUE
"Ireland",21,4,2,2,1,-0.26,0.385,0.276,0.017,-0.165,0.323,-0.505,-0.556,0.068,-0.663,0.662,0.002,0.312,0.492,0.629,0.052,1,1,0.466,0.962,0.694,0.006,0.656,0.984,0.72,0.102,0,0,0.914,0.084,TRUE,TRUE
"Italy",21,4,5,2,0,-0.427,0.249,0.413,0.454,0.414,0.243,-0.376,-0.427,0.328,-0.195,0.82,0.01,0.202,0.168,0.22,0.012,1,1,0.174,0.654,0.392,0.012,0.41,0.324,0.419,0.018,0,0,0.318,0.64,TRUE,TRUE
"Latvia",21,4,1,4,0,-0.363,-0.275,0.758,0.758,0.751,-0.294,0.091,0.182,0.231,0.363,0.7,0.872,0.09,0.094,0.046,0.924,0.352,0.186,0.328,0.252,0.706,0.2,0.2,0.206,0.139,0.176,0.658,0.374,0.642,0.616,TRUE,TRUE
"Lithuania",21,4,1,1,1,-0.867,-0.6,-0.2,-0.2,0.115,0.733,-0.733,-0.733,0.067,0.333,1,0.958,0.612,0.61,0.433,0.1,0.996,0.996,0.474,0.23,0.198,0.122,0.89,0.898,0.918,0.238,0.068,0.072,1,0.726,TRUE,TRUE
"Luxembourg",21,4,4,4,1,-0.927,0.345,-0.355,-0.314,-0.325,-0.573,-0.702,-0.472,0.098,-0.181,1,0.006,0.77,0.746,0.75,1,1,1,0.374,0.66,0,0.008,0.484,0.524,0.514,0,0,0,0.754,0.646,TRUE,TRUE
"Malta",21,4,3,2,1,-0.786,-0.286,-0.143,-0.071,-0.071,-0.845,0.667,0.667,0.214,0.286,0.96,0.792,0.546,0.488,0.478,0.992,0.012,0.012,0.356,0.296,0.31,0.404,0.9,0.968,0.968,0.01,0.018,0.018,0.718,0.75,TRUE,TRUE
"Netherlands",21,4,1,2,1,-0.714,0.143,-0.929,-0.929,-0.929,-0.618,0.071,0.429,0.786,0,0.942,0.252,1,0.998,0.996,0.856,0.456,0.132,0.062,0.428,0.414,0.722,0.02,0.02,0.02,0.306,0.92,0.292,0.108,1,TRUE,TRUE
"Poland",21,4,2,1,1,-0.238,-0.01,-0.429,-0.2,-0.2,0.638,-0.429,-0.6,0.562,0.181,0.682,0.466,0.722,0.612,0.615,0.016,0.982,0.998,0.084,0.39,0.794,1,0.598,0.786,0.781,0.026,0.056,0.006,0.152,0.844,TRUE,TRUE
"Portugal",21,4,2,5,0,-0.726,-0.232,0.695,0.8,0.781,-0.212,-0.463,-0.232,-0.232,0.705,0.882,0.846,0.172,0.088,0.049,0.85,0.994,0.934,0.752,0.078,0.276,0.25,0.326,0.17,0.132,0.258,0.01,0.18,0.53,0.176,TRUE,TRUE
"Romania",21,4,1,4,1,0.167,-0.056,0.167,0.167,0.167,0.111,0.278,0.111,0.889,0.667,0.526,0.482,0.454,0.36,0.359,0.432,0.182,0.396,0.004,0.11,0.92,0.932,0.89,0.85,0.844,0.852,0.39,0.78,0.016,0.322,TRUE,TRUE
"Slovakia",21,4,2,2,1,-0.894,0.039,-0.697,-0.743,-0.767,-0.427,-0.297,0.085,0.595,0.49,0.99,0.37,0.856,0.936,0.95,0.988,0.984,0.29,0.054,0.168,0.034,0.862,0.3,0.134,0.09,0.024,0.05,0.564,0.114,0.372,TRUE,TRUE
"Slovenia",21,4,2,2,1,0.026,0.481,-0.297,-0.413,-0.427,0.546,-0.354,-0.483,0.476,-0.349,0.5,0,0.656,0.738,0.741,0.022,0.968,0.996,0.166,0.698,0.974,0.008,0.7,0.54,0.537,0.032,0.062,0.006,0.276,0.574,TRUE,TRUE
"Sweden",21,4,2,1,1,-0.778,-0.278,-0.611,-0.389,-0.389,-0.056,-0.5,-0.222,-0.111,0.111,0.97,0.752,0.888,0.726,0.726,0.59,0.948,0.808,0.58,0.34,0.304,0.43,0.428,0.582,0.582,0.966,0.114,0.498,0.902,0.902,TRUE,TRUE
"United Kingdom",21,4,4,2,0,0.866,0.257,0.715,0.621,0.621,0.423,0.597,0.075,0.802,-0.842,0.046,0.026,0.13,0.104,0.098,0.006,0,0.284,0.004,0.986,0.054,0.132,0.258,0.276,0.273,0.012,0,0.578,0.006,0.028,TRUE,TRUE
"Austria",22,4,2,3,1,-0.729,0.153,-0.132,-0.118,-0.441,-0.588,-0.41,-0.129,0.194,-0.317,0.978,0.04,0.596,0.592,0.843,1,1,0.832,0.23,0.766,0.04,0.1,0.816,0.796,0.299,0,0,0.342,0.552,0.476,TRUE,TRUE
"Belgium",22,4,4,5,1,-0.897,0.275,-0.391,-0.073,-0.071,-0.205,-0.707,-0.494,0.216,-0.811,0.998,0.016,0.714,0.524,0.546,0.974,1,1,0.35,0.99,0.012,0.044,0.554,0.922,0.887,0.044,0,0,0.698,0.022,TRUE,TRUE
"Bulgaria",22,4,1,1,1,0,0.333,0,0,NA,-0.548,0.667,0.667,0.667,-0.333,0.796,0.412,0.59,0.592,NA,0.76,0.172,0.17,0.308,0.518,1,0.744,1,1,NA,0.526,0.364,0.366,0.596,0.85,TRUE,TRUE
"Croatia",22,4,1,1,1,0.577,0.086,0.577,0.086,0.086,0.298,-0.548,-0.548,0.577,-0.577,0.36,0.29,0.238,0.426,0.434,0.4,0.916,0.908,0.24,0.678,0.508,0.728,0.488,0.874,0.878,0.77,0.174,0.176,0.406,0.478,TRUE,TRUE
"Cyprus",22,4,3,3,0,-0.53,0.229,0.34,0.103,0.132,-0.293,-0.338,-0.126,0.162,-0.305,0.916,0.018,0.21,0.404,0.272,0.91,0.99,0.834,0.282,0.794,0.166,0.026,0.424,0.84,0.558,0.186,0.016,0.348,0.61,0.408,TRUE,TRUE
"Czechia",22,4,2,4,0,-0.679,-0.161,-0.562,-0.465,-0.453,0.088,-0.721,-0.479,0.334,0.223,0.894,0.764,0.84,0.772,0.754,0.3,1,1,0.19,0.334,0.206,0.41,0.332,0.422,0.453,0.62,0,0,0.374,0.686,TRUE,TRUE
"Denmark",22,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",22,4,1,5,0,0.651,0.2,0.307,-0.229,-0.234,0.055,0.269,0.104,0.29,-0.069,0.15,0.094,0.374,0.616,0.607,0.414,0.072,0.266,0.252,0.522,0.316,0.304,0.724,0.788,0.792,0.816,0.146,0.572,0.448,0.928,TRUE,TRUE
"Finland",22,4,1,3,1,-0.023,-0.076,0.061,-0.008,NA,-0.099,0.163,0.114,0.17,0.295,0.544,0.678,0.484,0.536,NA,0.786,0.078,0.182,0.344,0.308,0.978,0.604,0.918,0.994,NA,0.426,0.182,0.364,0.714,0.652,TRUE,TRUE
"France",22,4,4,5,0,-0.366,0.222,-0.477,-0.562,-0.452,0.223,-0.375,-0.458,-0.239,-0.363,0.812,0.006,0.928,0.966,0.899,0,1,1,0.752,0.896,0.334,0.006,0.174,0.088,0.209,0.002,0,0,0.482,0.228,TRUE,TRUE
"Germany",22,4,3,2,1,-0.966,0.062,-0.888,-0.742,-0.742,-0.686,-0.729,0.006,0.587,-0.153,1,0.326,0.986,0.97,0.972,1,1,0.494,0.048,0.572,0.006,0.78,0.046,0.056,0.054,0,0,0.972,0.074,0.806,TRUE,TRUE
"Greece",22,4,3,1,0,-0.924,0.089,0.455,0.098,NA,-0.462,-0.549,-0.428,-0.261,-0.33,1,0.262,0.268,0.446,NA,1,1,1,0.706,0.698,0.002,0.638,0.532,0.902,NA,0,0,0,0.58,0.58,TRUE,TRUE
"Hungary",22,4,1,1,1,-0.89,0.297,0.275,0.231,0.551,0.193,-0.802,-0.736,-0.187,-0.187,0.998,0.032,0.338,0.37,0.147,0.28,1,1,0.682,0.566,0.034,0.14,0.752,0.804,0.352,0.558,0,0,0.712,0.814,TRUE,TRUE
"Ireland",22,4,2,2,1,-0.276,0.351,0.3,-0.005,-0.234,0.383,-0.5,-0.556,0.054,-0.648,0.644,0.008,0.314,0.474,0.697,0.04,0.998,1,0.444,0.954,0.646,0.018,0.66,0.998,0.561,0.09,0.002,0,0.914,0.106,TRUE,TRUE
"Italy",22,4,5,2,0,-0.455,0.26,0.411,0.455,0.409,0.256,-0.371,-0.419,0.321,-0.183,0.84,0.002,0.23,0.154,0.19,0.014,1,1,0.14,0.654,0.376,0.006,0.432,0.32,0.389,0.03,0,0,0.304,0.654,TRUE,TRUE
"Latvia",22,4,1,4,0,-0.308,-0.385,0.641,0.667,0.667,-0.305,0.164,0.2,0.154,0.308,0.678,0.958,0.178,0.162,0.142,0.92,0.208,0.176,0.368,0.332,0.766,0.074,0.404,0.362,0.313,0.192,0.432,0.364,0.766,0.722,TRUE,TRUE
"Lithuania",22,4,1,1,1,-0.8,-0.2,0.105,0,0.316,1,-0.8,-1,-0.2,0.2,1,0.754,0.414,0.526,0.321,0.07,0.994,1,0.68,0.302,0.38,0.81,0.92,1,0.759,0.124,0.082,0.016,0.876,0.912,TRUE,TRUE
"Luxembourg",22,4,4,4,1,-0.942,0.373,-0.349,-0.312,-0.337,-0.559,-0.695,-0.452,0.071,-0.198,1,0,0.736,0.728,0.744,1,1,1,0.416,0.656,0,0.002,0.51,0.54,0.5,0,0,0,0.848,0.662,TRUE,TRUE
"Malta",22,4,3,2,1,-0.905,0.098,-0.39,-0.333,-0.333,-0.816,0.333,0.333,0.81,0.905,1,0.25,0.666,0.654,0.641,0.99,0.136,0.132,0.042,0.02,0.17,0.734,0.67,0.686,0.675,0.018,0.276,0.272,0.082,0.102,TRUE,TRUE
"Netherlands",22,4,1,2,1,-0.81,-0.238,-0.976,-0.81,-0.81,-0.714,0.238,0.524,0.714,-0.333,0.99,0.704,0.986,0.96,0.958,0.904,0.294,0.088,0.136,0.568,0.302,0.62,0.018,0.122,0.119,0.304,0.624,0.192,0.252,0.738,TRUE,TRUE
"Poland",22,4,2,1,1,-0.077,0.253,-0.604,-0.582,-0.582,0.736,-0.407,-0.648,0.56,0.055,0.6,0.066,0.826,0.828,0.817,0.006,0.958,0.998,0.068,0.466,0.954,0.234,0.36,0.35,0.353,0.01,0.096,0.008,0.14,0.962,TRUE,TRUE
"Portugal",22,4,2,5,0,-0.743,-0.357,0.637,0.743,0.755,-0.182,-0.474,-0.205,-0.474,0.766,0.926,0.968,0.176,0.112,0.065,0.82,0.994,0.88,0.894,0.03,0.238,0.044,0.352,0.216,0.142,0.362,0.016,0.296,0.198,0.09,TRUE,TRUE
"Romania",22,4,1,4,1,0.071,0,0.214,0.143,0.143,0.214,-0.143,-0.143,0.857,0.786,0.6,0.436,0.44,0.406,0.411,0.408,0.716,0.71,0.02,0.046,0.974,1,0.82,0.882,0.89,0.752,0.772,0.774,0.04,0.22,TRUE,TRUE
"Slovakia",22,4,2,2,1,-0.93,-0.03,-0.69,-0.7,-0.734,-0.4,-0.236,0.118,0.581,0.55,1,0.49,0.832,0.904,0.914,0.966,0.946,0.222,0.048,0.128,0.022,0.862,0.356,0.196,0.162,0.042,0.126,0.422,0.098,0.322,TRUE,TRUE
"Slovenia",22,4,2,2,1,0.003,0.476,-0.28,-0.39,-0.401,0.567,-0.367,-0.487,0.492,-0.324,0.504,0,0.632,0.7,0.702,0.01,0.972,0.998,0.112,0.682,0.992,0.01,0.748,0.6,0.592,0.018,0.058,0.004,0.232,0.58,TRUE,TRUE
"Sweden",22,4,2,1,1,-0.714,0,-0.643,-0.214,-0.214,0.214,-0.5,-0.286,-0.357,0.214,0.92,0.436,0.876,0.64,0.639,0.444,0.95,0.808,0.734,0.304,0.424,1,0.426,0.788,0.791,0.834,0.194,0.5,0.63,0.818,TRUE,TRUE
"United Kingdom",22,4,4,2,0,0.894,0.1,0.723,0.576,0.576,0.437,0.42,-0.048,0.711,-0.842,0.018,0.134,0.082,0.136,0.13,0.008,0.004,0.65,0.01,0.976,0.02,0.526,0.164,0.28,0.271,0.01,0.004,0.788,0.028,0.034,TRUE,TRUE
"Austria",23,4,2,3,1,-0.739,0.115,-0.138,-0.133,-0.447,-0.573,-0.414,-0.139,0.178,-0.336,0.986,0.096,0.592,0.59,0.818,0.998,0.998,0.858,0.306,0.794,0.038,0.274,0.8,0.806,0.351,0.002,0.002,0.302,0.648,0.422,TRUE,TRUE
"Belgium",23,4,4,5,1,-0.889,0.294,-0.378,-0.096,-0.096,-0.161,-0.709,-0.535,0.18,-0.787,1,0,0.72,0.598,0.607,0.95,1,1,0.408,0.978,0.006,0.016,0.598,0.912,0.903,0.074,0,0,0.776,0.03,TRUE,TRUE
"Bulgaria",23,4,1,1,1,-0.333,-0.333,0.333,0.333,NA,-0.333,0.333,0.333,1,-0.333,1,0.886,0.508,0.548,NA,0.812,0.51,0.514,0.266,0.48,1,1,1,1,NA,1,1,1,0.5,1,TRUE,TRUE
"Croatia",23,4,1,1,1,0.598,0.105,-0.837,-0.949,-0.949,0.447,-1,-1,0.598,-0.598,0.436,0.348,0.904,0.908,0.943,0.262,1,1,0.264,0.626,0.546,0.806,0.138,0.13,0.099,0.542,0,0,0.468,0.508,TRUE,TRUE
"Cyprus",23,4,3,3,0,-0.553,0.216,0.322,0.099,0.162,-0.273,-0.333,-0.131,0.166,-0.315,0.91,0.03,0.246,0.42,0.218,0.874,0.982,0.832,0.318,0.792,0.186,0.04,0.504,0.864,0.464,0.254,0.032,0.328,0.586,0.406,TRUE,TRUE
"Czechia",23,4,2,4,0,-0.679,-0.048,-0.595,-0.523,-0.509,0.077,-0.712,-0.459,0.345,0.297,0.864,0.558,0.804,0.806,0.79,0.328,1,1,0.192,0.26,0.272,0.828,0.378,0.386,0.418,0.656,0,0,0.36,0.588,TRUE,TRUE
"Denmark",23,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",23,4,1,5,0,0.695,0.186,0.308,-0.295,-0.295,0.01,0.276,0.143,0.219,-0.152,0.186,0.116,0.384,0.632,0.622,0.48,0.08,0.23,0.328,0.55,0.308,0.344,0.74,0.718,0.732,0.956,0.146,0.45,0.624,0.842,TRUE,TRUE
"Finland",23,4,1,3,1,-0.016,-0.095,0.077,0.044,-0.169,-0.106,0.125,0.109,0.194,0.254,0.546,0.618,0.482,0.488,0.623,0.8,0.132,0.178,0.38,0.326,0.974,0.584,0.938,0.952,0.763,0.416,0.292,0.376,0.712,0.67,TRUE,TRUE
"France",23,4,4,5,0,-0.383,0.208,-0.48,-0.572,-0.479,0.25,-0.409,-0.501,-0.245,-0.349,0.846,0.008,0.886,0.934,0.897,0,1,1,0.794,0.84,0.312,0.012,0.212,0.118,0.202,0.002,0,0,0.396,0.272,TRUE,TRUE
"Germany",23,4,3,2,1,-0.931,0.062,-0.885,-0.715,-0.715,-0.674,-0.692,0.011,0.577,-0.172,0.996,0.304,0.992,0.96,0.962,1,1,0.488,0.032,0.552,0.032,0.76,0.054,0.088,0.088,0,0,0.926,0.062,0.812,TRUE,TRUE
"Greece",23,4,3,1,0,-0.934,0.012,0.48,0.105,NA,-0.501,-0.524,-0.375,-0.242,-0.321,1,0.418,0.262,0.456,NA,1,1,0.998,0.696,0.658,0,0.96,0.506,0.924,NA,0,0.002,0.004,0.646,0.608,TRUE,TRUE
"Hungary",23,4,1,1,1,-0.923,0.128,0.231,0.179,0.524,0.252,-0.846,-0.821,-0.154,-0.103,1,0.208,0.346,0.372,0.146,0.228,1,1,0.636,0.512,0.02,0.574,0.808,0.848,0.374,0.492,0,0,0.788,0.91,TRUE,TRUE
"Ireland",23,4,2,2,1,-0.298,0.341,0.287,-0.026,-0.199,0.451,-0.525,-0.582,0.047,-0.628,0.714,0.006,0.334,0.51,0.663,0.01,1,1,0.466,0.918,0.624,0.016,0.692,0.978,0.688,0.024,0,0,0.932,0.162,TRUE,TRUE
"Italy",23,4,5,2,0,-0.475,0.236,0.43,0.462,0.413,0.266,-0.37,-0.42,0.275,-0.183,0.812,0.024,0.194,0.16,0.203,0,1,1,0.182,0.666,0.346,0.04,0.442,0.37,0.445,0.002,0,0,0.364,0.656,TRUE,TRUE
"Latvia",23,4,1,4,0,-0.242,-0.333,0.606,0.576,0.576,-0.375,0.289,0.289,-0.061,0.242,0.64,0.906,0.198,0.214,0.197,0.934,0.102,0.102,0.586,0.332,0.816,0.176,0.41,0.45,0.404,0.14,0.186,0.182,0.93,0.774,TRUE,TRUE
"Lithuania",23,4,1,1,1,-0.913,-0.667,0.913,0.333,0.707,1,-1,-1,-0.548,0.183,1,0.96,0.108,0.408,0.176,0.094,1,1,0.692,0.224,0.294,0.32,0.214,0.794,0.327,0.226,0.092,0.092,0.584,0.842,TRUE,TRUE
"Luxembourg",23,4,4,4,1,-0.947,0.343,-0.348,-0.328,-0.352,-0.545,-0.689,-0.446,0.065,-0.214,1,0.004,0.706,0.704,0.716,1,1,1,0.408,0.666,0,0.012,0.566,0.536,0.51,0,0,0,0.848,0.62,TRUE,TRUE
"Malta",23,4,3,2,1,-0.867,0,-0.745,-0.067,-0.067,-0.73,NA,NA,0.867,0.867,1,0.402,0.914,0.518,0.514,0.882,NA,NA,0.068,0.04,0.244,1,0.128,1,0.995,0.21,NA,NA,0.104,0.216,TRUE,TRUE
"Netherlands",23,4,1,2,1,-0.69,-0.2,-0.966,-0.733,-0.733,-0.867,0.867,0.867,0.69,-0.552,0.938,0.724,0.984,0.948,0.947,0.942,0.03,0.03,0.198,0.63,0.442,0.71,0.028,0.2,0.195,0.252,0.07,0.07,0.348,0.48,TRUE,TRUE
"Poland",23,4,2,1,1,-0.231,0.359,-0.462,-0.513,-0.513,0.769,-0.513,-0.641,0.615,0.231,0.692,0.03,0.752,0.79,0.788,0.002,0.986,0.996,0.032,0.296,0.814,0.152,0.53,0.426,0.446,0.012,0.03,0.006,0.076,0.736,TRUE,TRUE
"Portugal",23,4,2,5,0,-0.817,-0.124,0.608,0.699,0.7,-0.125,-0.438,-0.242,-0.438,0.804,0.952,0.706,0.218,0.16,0.124,0.726,0.992,0.894,0.89,0.026,0.162,0.498,0.43,0.324,0.263,0.554,0.022,0.204,0.22,0.074,TRUE,TRUE
"Romania",23,4,1,4,1,0.333,-0.048,-0.238,-0.238,-0.238,0.429,-0.429,-0.429,0.81,0.81,0.548,0.528,0.658,0.624,0.621,0.292,0.9,0.894,0.042,0.05,0.81,1,0.83,0.742,0.743,0.544,0.326,0.322,0.094,0.24,TRUE,TRUE
"Slovakia",23,4,2,2,1,-0.919,-0.063,-0.72,-0.698,-0.745,-0.365,-0.201,0.116,0.519,0.522,0.988,0.558,0.848,0.886,0.924,0.97,0.926,0.208,0.09,0.198,0.046,0.752,0.314,0.212,0.142,0.058,0.176,0.436,0.158,0.43,TRUE,TRUE
"Slovenia",23,4,2,2,1,-0.006,0.45,-0.387,-0.428,-0.432,0.57,-0.413,-0.5,0.483,-0.29,0.496,0.002,0.694,0.738,0.726,0.014,0.986,0.998,0.118,0.656,0.994,0.018,0.612,0.52,0.547,0.024,0.032,0.008,0.24,0.644,TRUE,TRUE
"Sweden",23,4,2,1,1,-0.429,0.429,-0.524,-0.333,-0.333,0.333,-0.333,-0.333,-0.429,0.333,0.854,0.082,0.824,0.702,0.701,0.39,0.854,0.85,0.762,0.224,0.736,0.282,0.586,0.68,0.679,0.73,0.508,0.51,0.58,0.734,TRUE,TRUE
"United Kingdom",23,4,4,2,0,0.724,0.133,0.667,0.571,0.571,0.495,0.238,-0.152,0.648,-0.705,0.132,0.092,0.136,0.128,0.123,0.004,0.07,0.858,0.018,0.92,0.184,0.366,0.27,0.292,0.29,0.01,0.106,0.32,0.032,0.136,TRUE,TRUE
"Austria",24,4,2,3,1,-0.743,0.118,-0.131,-0.142,-0.43,-0.558,-0.412,-0.15,0.182,-0.333,0.982,0.122,0.598,0.6,0.836,0.998,0.998,0.872,0.314,0.778,0.038,0.262,0.812,0.784,0.37,0.004,0.004,0.248,0.654,0.442,TRUE,TRUE
"Belgium",24,4,4,5,1,-0.87,0.292,-0.41,-0.095,-0.095,-0.113,-0.708,-0.559,0.213,-0.781,0.992,0.008,0.704,0.528,0.537,0.888,1,1,0.352,0.976,0.018,0.024,0.61,0.908,0.912,0.224,0,0,0.662,0.042,TRUE,TRUE
"Bulgaria",24,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Croatia",24,4,1,1,1,0.913,0.667,-0.913,-1,-1,0.816,NA,NA,0.913,-0.913,0.266,0.142,0.87,1,1,0.122,NA,NA,0.14,0.75,0.266,0.306,0.244,0.22,0.141,0.232,NA,NA,0.238,0.254,TRUE,TRUE
"Cyprus",24,4,3,3,0,-0.567,0.193,0.331,0.102,0.171,-0.253,-0.322,-0.143,0.167,-0.32,0.932,0.04,0.24,0.442,0.217,0.846,0.986,0.836,0.278,0.808,0.166,0.07,0.476,0.826,0.44,0.316,0.032,0.352,0.642,0.392,TRUE,TRUE
"Czechia",24,4,2,4,0,-0.679,-0.076,-0.632,-0.559,-0.56,0.03,-0.705,-0.463,0.349,0.368,0.884,0.642,0.85,0.832,0.832,0.448,1,1,0.2,0.208,0.244,0.72,0.316,0.348,0.353,0.876,0,0,0.384,0.492,TRUE,TRUE
"Denmark",24,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",24,4,1,5,0,0.709,0.092,0.339,-0.347,-0.347,-0.045,0.28,0.164,0.148,-0.133,0.202,0.218,0.37,0.686,0.685,0.54,0.062,0.19,0.342,0.508,0.318,0.652,0.684,0.658,0.659,0.87,0.132,0.376,0.708,0.862,TRUE,TRUE
"Finland",24,4,1,3,1,-0.037,-0.03,0.191,0.101,NA,-0.132,0.131,0.14,0.282,0.23,0.564,0.536,0.398,0.444,NA,0.872,0.136,0.126,0.326,0.358,0.948,0.818,0.838,0.92,NA,0.272,0.282,0.262,0.588,0.756,TRUE,TRUE
"France",24,4,4,5,0,-0.402,0.238,-0.49,-0.595,-0.513,0.258,-0.438,-0.513,-0.237,-0.34,0.842,0.004,0.88,0.944,0.901,0,1,1,0.784,0.846,0.316,0.008,0.224,0.108,0.181,0,0,0,0.442,0.368,TRUE,TRUE
