"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Slovakia",6,2,3,1,1,-0.437,0.144,-0.088,-0.389,-0.475,-0.377,-0.109,0.129,0.128,0.121,0.96,0.034,0.616,0.918,0.987,1,0.902,0.074,0.216,0.3,0.082,0.07,0.738,0.154,0.038,0,0.206,0.142,0.41,0.62,TRUE,TRUE
"Slovenia",6,2,1,1,1,-0.041,0.127,0.106,-0.018,-0.026,-0.072,-0.198,-0.066,-0.063,-0.101,0.55,0.064,0.346,0.522,0.569,0.808,0.976,0.762,0.686,0.66,0.884,0.116,0.694,0.946,0.887,0.424,0.062,0.508,0.69,0.604,TRUE,TRUE
"Sweden",6,2,3,4,0,-0.63,0.13,-0.072,0.116,0.117,-0.584,-0.37,-0.138,0.051,-0.601,0.98,0.166,0.556,0.382,0.33,1,0.996,0.838,0.424,0.98,0.056,0.366,0.864,0.77,0.696,0,0.014,0.326,0.856,0.028,TRUE,TRUE
"United Kingdom",6,2,2,5,1,0.181,0.084,0.004,0.09,-0.157,0.14,0.104,0.024,0.235,0.164,0.298,0.182,0.46,0.354,0.732,0.01,0.166,0.406,0.088,0.23,0.552,0.404,0.998,0.738,0.488,0.024,0.34,0.826,0.22,0.484,TRUE,TRUE
"Austria",7,2,2,2,0,-0.516,-0.043,0.142,-0.211,-0.373,-0.625,-0.216,0.123,-0.02,0.126,0.998,0.738,0.276,0.858,1,1,0.998,0.088,0.56,0.232,0.01,0.5,0.52,0.304,0,0,0.008,0.16,0.896,0.46,TRUE,TRUE
"Belgium",7,2,4,5,1,-0.612,0.012,0.222,-0.001,-0.194,-0.336,-0.389,-0.226,0.264,-0.003,0.996,0.438,0.23,0.508,0.868,1,1,0.996,0.064,0.51,0.01,0.914,0.484,0.998,0.216,0,0,0.01,0.132,0.994,TRUE,TRUE
"Bulgaria",7,2,1,1,1,-0.146,-0.111,-0.404,-0.614,NA,-0.609,0.673,0.686,0.38,-0.38,0.62,0.678,0.764,0.936,NA,1,0,0,0.094,0.81,0.804,0.604,0.42,0.102,NA,0,0,0,0.192,0.332,TRUE,TRUE
"Croatia",7,2,1,1,0,-0.637,-0.031,0.651,-0.102,NA,-0.235,-0.4,-0.295,0.292,0.02,0.942,0.524,0.044,0.594,NA,0.986,0.998,0.978,0.174,0.442,0.116,0.882,0.074,0.828,NA,0.018,0.01,0.04,0.346,0.944,TRUE,TRUE
"Cyprus",7,2,2,2,1,-0.322,0.127,0.3,0.027,0.057,-0.434,-0.133,0.087,0.118,-0.188,0.948,0.006,0.072,0.472,0.362,0.996,0.886,0.18,0.192,0.878,0.104,0.008,0.134,0.88,0.656,0.008,0.206,0.4,0.348,0.236,TRUE,TRUE
"Czechia",7,2,2,2,1,-0.416,-0.073,-0.181,-0.203,-0.295,-0.116,-0.354,-0.283,0.25,-0.198,0.96,0.828,0.734,0.756,0.948,0.958,1,1,0.1,0.834,0.096,0.276,0.456,0.434,0.095,0.078,0,0,0.19,0.352,TRUE,TRUE
"Denmark",7,2,1,1,1,-0.571,-0.071,0.786,0.857,NA,-0.473,-0.643,-0.286,0,-0.143,0.774,0.558,0.12,0.048,NA,0.982,0.994,0.858,0.498,0.564,0.568,0.948,0.31,0.128,NA,0.04,0.03,0.374,1,0.904,TRUE,TRUE
"Estonia",7,2,1,1,1,0.209,0.195,-0.126,0.029,0.249,-0.049,0.104,0.032,0.444,0.364,0.232,0.022,0.668,0.492,0.068,0.706,0.15,0.376,0.014,0.086,0.482,0.036,0.682,0.916,0.163,0.55,0.308,0.748,0.024,0.16,TRUE,TRUE
"Finland",7,2,2,1,1,-0.185,0.161,0.398,0.373,0.279,-0.299,-0.038,0.135,-0.062,0.24,0.762,0.056,0.062,0.056,0.008,1,0.704,0.06,0.602,0.136,0.548,0.092,0.162,0.146,0.074,0,0.652,0.122,0.756,0.312,TRUE,TRUE
"France",7,2,5,5,1,0.146,0.247,-0.203,-0.246,-0.072,-0.022,0.182,0.145,0.391,0.101,0.248,0,0.86,0.908,0.687,0.796,0.002,0.004,0,0.228,0.448,0,0.248,0.186,0.528,0.4,0.002,0.01,0.002,0.5,TRUE,TRUE
"Germany",7,2,5,2,1,-0.588,-0.04,-0.355,-0.424,-0.575,-0.678,-0.217,0.214,0.333,-0.3,0.992,0.67,0.904,0.956,1,1,0.998,0.01,0.044,0.886,0.02,0.596,0.216,0.112,0.009,0,0.014,0.018,0.096,0.208,TRUE,TRUE
"Greece",7,2,2,1,1,-0.453,-0.004,0.333,0.048,0.034,-0.448,-0.193,0.04,-0.057,-0.091,0.928,0.494,0.148,0.43,0.35,1,0.978,0.36,0.676,0.662,0.114,0.936,0.278,0.87,0.86,0,0.048,0.654,0.712,0.698,TRUE,TRUE
"Hungary",7,2,3,1,1,-0.229,0.284,-0.01,-0.227,-0.14,-0.117,-0.402,-0.286,0,-0.476,0.716,0.014,0.474,0.722,0.694,0.932,1,0.992,0.514,0.966,0.582,0.042,0.996,0.552,0.55,0.104,0,0.008,1,0.066,TRUE,TRUE
"Ireland",7,2,2,3,1,-0.183,0.102,0.253,0.106,-0.163,-0.005,-0.185,-0.169,0.457,-0.212,0.798,0.084,0.142,0.308,0.827,0.54,0.99,0.984,0.002,0.802,0.466,0.196,0.306,0.65,0.296,0.946,0.018,0.04,0.002,0.34,TRUE,TRUE
"Italy",7,2,5,4,0,-0.136,0.034,0.106,0.156,0.041,-0.029,-0.16,-0.193,0.174,-0.17,0.744,0.248,0.284,0.198,0.346,0.672,0.984,0.992,0.116,0.806,0.558,0.532,0.628,0.416,0.719,0.744,0.04,0.016,0.244,0.352,TRUE,TRUE
"Latvia",7,2,2,2,0,-0.356,-0.191,0.363,0.266,0.29,-0.35,-0.194,-0.036,0.259,0.11,0.874,0.93,0.152,0.232,0.074,1,0.954,0.614,0.164,0.312,0.316,0.144,0.322,0.428,0.206,0,0.094,0.812,0.328,0.684,TRUE,TRUE
"Lithuania",7,2,1,1,1,-0.459,0.201,0.343,-0.074,-0.216,-0.146,-0.158,-0.095,-0.132,0.142,0.874,0.154,0.222,0.528,0.792,0.942,0.892,0.78,0.672,0.332,0.304,0.324,0.512,0.886,0.453,0.136,0.27,0.518,0.686,0.708,TRUE,TRUE
"Luxembourg",7,2,4,4,0,-0.711,0.236,0.471,-0.078,-0.033,-0.622,-0.575,-0.116,0.213,0.151,0.986,0.002,0.102,0.64,0.553,1,1,0.944,0.078,0.21,0.026,0.002,0.196,0.714,0.855,0,0,0.12,0.156,0.456,TRUE,TRUE
"Malta",7,2,2,2,1,-0.712,-0.393,-0.363,-0.609,NA,-0.443,-0.039,0.234,-0.513,-0.365,0.978,0.994,0.774,0.948,NA,1,0.596,0.054,0.976,0.816,0.032,0.012,0.404,0.094,NA,0,0.836,0.094,0.044,0.294,TRUE,TRUE
"Netherlands",7,2,2,2,1,-0.573,0.126,-0.247,-0.281,-0.356,-0.694,-0.048,0.238,0.13,0.408,0.934,0.214,0.732,0.808,0.904,1,0.614,0.066,0.35,0.108,0.152,0.472,0.536,0.396,0.166,0,0.78,0.128,0.652,0.24,TRUE,TRUE
"Poland",7,2,1,1,1,-0.153,0.034,0.246,0.222,0.05,0.103,-0.143,-0.187,0.404,-0.67,0.682,0.368,0.234,0.25,0.436,0.136,0.876,0.916,0.05,0.996,0.71,0.802,0.532,0.528,0.823,0.27,0.282,0.162,0.096,0.006,TRUE,TRUE
"Portugal",7,2,2,3,1,-0.733,-0.052,0.743,0.323,0.103,-0.286,-0.537,-0.383,-0.059,0.005,1,0.6,0,0.138,0.312,1,1,1,0.612,0.448,0.004,0.688,0.002,0.32,0.71,0,0,0,0.794,0.994,TRUE,TRUE
"Romania",7,2,1,1,0,-0.542,-0.075,0.494,0.478,0.402,-0.222,-0.447,-0.312,0.391,0.067,0.896,0.648,0.104,0.094,0.035,0.984,0.998,0.992,0.09,0.42,0.178,0.65,0.222,0.208,0.095,0.038,0.002,0.022,0.158,0.886,TRUE,TRUE
"Slovakia",7,2,3,1,1,-0.452,0.101,-0.052,-0.4,-0.453,-0.375,-0.158,0.136,0.139,0.12,0.958,0.126,0.58,0.916,0.961,1,0.934,0.064,0.222,0.264,0.096,0.298,0.86,0.174,0.078,0,0.102,0.152,0.466,0.6,TRUE,TRUE
"Slovenia",7,2,1,1,1,-0.025,0.235,0.183,0.03,-0.019,-0.033,-0.214,-0.082,-0.097,-0.116,0.538,0.014,0.258,0.448,0.539,0.692,0.98,0.806,0.696,0.65,0.936,0.014,0.548,0.928,0.923,0.686,0.034,0.42,0.666,0.628,TRUE,TRUE
"Sweden",7,2,3,4,0,-0.657,-0.028,-0.02,0.138,0.158,-0.547,-0.431,-0.154,0.099,-0.586,0.98,0.512,0.516,0.378,0.317,1,0.998,0.858,0.346,0.984,0.062,0.87,0.948,0.764,0.643,0,0.006,0.29,0.754,0.038,TRUE,TRUE
"United Kingdom",7,2,2,5,1,0.255,0.015,0.117,0.231,-0.181,0.197,0.033,-0.045,0.375,0.231,0.2,0.38,0.34,0.22,0.734,0.002,0.358,0.688,0.056,0.186,0.388,0.904,0.694,0.446,0.471,0.002,0.716,0.65,0.116,0.39,TRUE,TRUE
